Channel Pedestal CM_slope CM_offset kappa_BXm1
0 87.947667 0.229027 1.338363 0.000000
1 87.449362 0.219637 0.482357 0.000000
2 87.010367 0.259206 1.063105 0.000000
3 84.502891 0.264422 1.149829 0.000000
4 86.616926 0.293418 1.069860 0.000000
5 88.585825 0.297813 1.139495 0.000000
6 86.170455 0.294949 1.162006 0.000000
7 87.290570 0.300584 0.889053 0.000000
8 89.846491 0.238211 0.348195 0.000000
9 83.959629 0.249491 1.181678 0.000000
10 87.483453 0.281686 1.280102 0.000000
11 85.331041 0.269274 1.043742 0.000000
12 88.414972 0.263019 1.139683 0.000000
13 88.491926 0.241283 0.303461 0.000000
14 86.387161 0.273609 1.031028 0.000000
15 85.922149 0.243524 1.086526 0.000000
16 87.445973 0.280667 1.115788 0.000000
17 88.044757 0.223157 0.474684 0.000000
18 89.532396 0.209636 0.670190 0.000000
19 87.992923 0.301788 0.399044 0.000000
20 86.820474 0.310276 0.885500 0.000000
21 85.273425 0.282618 1.119875 0.000000
22 89.899721 0.285450 1.001347 0.000000
23 87.480762 0.252466 0.950354 0.000000
24 88.145833 0.275200 0.878724 0.000000
25 86.725678 -0.502473 1.364035 0.000000
26 88.365032 -0.976257 0.971626 0.000000
27 89.109151 0.204973 0.404618 0.000000
28 87.071770 -0.211188 1.988528 0.000000
29 89.000100 0.254651 1.142943 0.000000
30 88.941886 0.262193 1.562689 0.000000
31 88.720793 -0.019595 3.109728 0.000000
32 86.024920 0.225136 1.668082 0.000000
33 87.667663 -0.035906 1.552134 0.000000
34 87.115530 -2.251986 7.471562 0.000000
35 87.236643 0.156263 1.121098 0.000000
36 87.845295 0.194360 1.152014 0.000000
268435456 85.959729 1.083807 -0.964153 0.000000
268435457 88.278808 0.916193 0.964153 0.000000
64 83.084131 -0.022685 1.491789 0.000000
65 80.538975 -0.024199 1.333689 0.000000
66 84.688995 -0.013321 1.221539 0.000000
67 81.633872 -0.023210 0.634951 0.000000
68 83.410486 0.009161 1.102652 0.000000
69 84.784589 -0.030880 1.280967 0.000000
70 84.557217 -0.019502 1.495644 0.000000
71 81.961623 -0.044503 1.546214 0.000000
72 82.446770 0.142457 0.229500 0.000000
73 80.953648 -0.007779 1.029196 0.000000
74 83.484450 -0.043701 1.711723 0.000000
75 85.085327 -0.008325 0.857617 0.000000
76 81.949661 -0.017826 0.954633 0.000000
77 83.889753 -0.130508 1.335193 0.000000
78 83.024821 0.036930 1.121142 0.000000
79 86.062600 0.003609 1.139579 0.000000
80 82.883373 0.003500 1.113559 0.000000
81 84.214414 0.120314 0.128353 0.000000
82 84.234549 0.124136 0.077267 0.000000
83 84.307715 0.056434 0.546605 0.000000
84 83.118820 0.002663 1.231109 0.000000
85 85.745415 0.013861 0.966370 0.000000
86 84.982556 0.004916 1.307853 0.000000
87 83.529306 -0.009403 0.911715 0.000000
88 83.379187 -0.006326 0.781160 0.000000
89 83.897628 -0.009401 0.698375 0.000000
90 84.615730 -0.107402 0.991237 0.000000
91 85.931419 0.105600 0.422322 0.000000
92 82.212121 -0.006290 0.754291 0.000000
93 87.163078 0.014905 1.050642 0.000000
94 86.450159 0.026195 0.868776 0.000000
95 84.589912 0.004927 -0.364352 0.000000
96 86.051934 -0.022894 1.815803 0.000000
97 92.723684 -0.003034 1.698084 0.000000
98 82.074063 0.001097 1.049898 0.000000
99 84.675538 -0.096718 1.270054 0.000000
100 83.393242 0.107623 0.308718 0.000000
268435520 87.384669 0.991953 1.886046 0.000000
268435521 83.270833 1.008047 -1.886046 0.000000
128 86.572368 0.443973 1.301156 0.000000
129 89.192185 0.484211 1.306029 0.000000
130 88.359151 0.423993 1.164167 0.000000
131 89.843401 0.457145 1.445861 0.000000
132 88.813696 0.485439 1.379235 0.000000
133 103.034888 0.535617 1.321255 0.000000
134 88.361344 0.359749 1.322850 0.000000
135 88.152113 0.405848 0.901647 0.000000
136 89.664474 0.123897 0.942481 0.000000
137 90.090012 0.393252 1.496045 0.000000
138 90.578449 0.508936 1.122058 0.000000
139 90.317285 0.371905 1.160934 0.000000
140 86.693082 0.371587 1.075011 0.000000
141 89.427831 0.381651 1.018846 0.000000
142 88.876196 0.379662 1.103588 0.000000
143 89.760766 0.387709 0.993335 0.000000
144 89.193182 0.450110 1.570084 0.000000
145 88.469597 0.120292 0.832591 0.000000
146 89.565490 0.150142 1.388978 0.000000
147 89.735845 0.332457 0.935129 0.000000
148 89.001894 0.340898 0.953928 0.000000
149 90.306818 0.283752 0.796353 0.000000
150 91.940490 0.038961 1.446265 0.000000
151 87.573764 0.456048 1.129245 0.000000
152 85.381380 0.168569 1.357014 0.000000
153 89.335028 0.292498 0.829743 0.000000
154 89.390849 0.311183 1.987925 0.000000
155 90.321272 0.137730 1.196639 0.000000
156 89.103469 0.301390 0.963646 0.000000
157 88.302831 0.312070 1.383601 0.000000
158 87.199262 0.312057 1.152526 0.000000
159 90.919159 0.314715 1.147268 0.000000
160 89.721392 0.313324 1.115784 0.000000
161 88.458333 0.308127 1.910211 0.000000
162 88.027412 0.294127 1.112720 0.000000
163 88.660785 0.300061 0.042630 0.000000
164 89.433513 0.186027 1.016590 0.000000
268435584 89.050837 1.079036 -1.126410 0.000000
268435585 92.093700 0.920964 1.126410 0.000000
192 87.967504 0.259120 0.853609 0.000000
193 87.754386 0.266351 0.918731 0.000000
194 86.809609 0.257425 1.172195 0.000000
195 86.808911 0.276816 0.811544 0.000000
196 87.348186 0.303419 0.944210 0.000000
197 87.531499 0.281448 0.656267 0.000000
198 87.418561 0.311264 0.433509 0.000000
199 87.655602 0.304386 0.640741 0.000000
200 89.088816 0.119943 0.372859 0.000000
201 86.236244 0.274352 0.514490 0.000000
202 89.244617 0.281541 0.619833 0.000000
203 88.052333 0.212469 1.017393 0.000000
204 93.695375 0.022661 0.731246 0.000000
205 89.005383 0.297944 0.485547 0.000000
